#,datetime_BKK,direction,type,qty,balance,refType,note
86,15/06/2569 20:59:37,OUT,ADJUST,-1,61,ITEM_QTY,
87,15/06/2569 20:59:39,OUT,ADJUST,-1,60,ITEM_QTY,
88,15/06/2569 20:59:41,OUT,ADJUST,-1,59,ITEM_QTY,
89,15/06/2569 20:59:42,OUT,ADJUST,-1,58,ITEM_QTY,
90,15/06/2569 20:59:45,OUT,ADJUST,-1,57,ITEM_QTY,
91,15/06/2569 20:59:49,OUT,ADJUST,-1,56,ITEM_QTY,
92,15/06/2569 20:59:51,OUT,ADJUST,-1,55,ITEM_QTY,
93,15/06/2569 20:59:56,OUT,ADJUST,-1,54,ITEM_QTY,
94,15/06/2569 20:59:57,OUT,ADJUST,-2,52,ITEM_QTY,
95,15/06/2569 21:00:00,OUT,ADJUST,-1,51,ITEM_QTY,
96,15/06/2569 21:00:22,OUT,ADJUST,-1,50,ITEM_QTY,
97,15/06/2569 21:00:24,OUT,ADJUST,-1,49,ITEM_QTY,
98,15/06/2569 21:00:25,OUT,ADJUST,-2,47,ITEM_QTY,
99,15/06/2569 21:00:26,OUT,ADJUST,-2,45,ITEM_QTY,
100,15/06/2569 21:00:37,OUT,ADJUST,-1,44,ITEM_QTY,
101,15/06/2569 21:00:39,OUT,ADJUST,-1,43,ITEM_QTY,
102,15/06/2569 21:00:39,OUT,ADJUST,-3,40,ITEM_QTY,
103,15/06/2569 21:00:40,OUT,ADJUST,-1,39,ITEM_QTY,
104,15/06/2569 21:00:45,OUT,ADJUST,-1,38,ITEM_QTY,
105,15/06/2569 21:17:15,OUT,SALE,-1,37,TAB,
106,15/06/2569 21:17:19,OUT,ADJUST,-1,36,ITEM_QTY,
107,15/06/2569 21:30:48,OUT,ADJUST,-1,35,ITEM_QTY,
108,15/06/2569 21:30:51,OUT,ADJUST,-1,34,ITEM_QTY,
109,15/06/2569 21:30:51,OUT,ADJUST,-2,32,ITEM_QTY,
110,15/06/2569 21:30:59,OUT,ADJUST,-1,31,ITEM_QTY,
111,15/06/2569 21:31:00,OUT,ADJUST,-1,30,ITEM_QTY,
112,15/06/2569 21:31:05,OUT,ADJUST,-1,29,ITEM_QTY,
113,15/06/2569 21:31:11,OUT,ADJUST,-1,28,ITEM_QTY,
114,15/06/2569 21:31:14,OUT,ADJUST,-1,27,ITEM_QTY,
